time_h,Gas_profileA
0,0.586996617
0.05,0.588609735
0.1,0.593087623
0.15,0.598415723
0.2,0.603743822
0.25,0.614429428
0.3,0.621103987
0.35,0.618358684
0.4,0.618973942
0.45,0.6195892
0.5,0.622908254
0.55,0.62221381
0.6,0.608709689
0.65,0.599841215
0.7,0.605697882
0.75,0.612309338
0.8,0.612361414
0.85,0.611550872
0.9,0.60243458
0.95,0.59194778
1,0.59513769
1.05,0.595278058
1.1,0.594689071
1.15,0.594100085
1.2,0.59365326
1.25,0.5950047
1.3,0.592850931
1.35,0.590697162
1.4,0.589451796
1.45,0.586820597
1.5,0.584189398
1.55,0.582068826
1.6,0.579948255
1.65,0.58131425
1.7,0.582680244
1.75,0.589253407
1.8,0.593292571
1.85,0.600243271
1.9,0.607193971
1.95,0.608389889
2,0.605276973
2.05,0.602164057
2.1,0.60475508
2.15,0.606186573
2.2,0.607618065
2.25,0.607913157
2.3,0.6117318
2.35,0.614088943
2.4,0.615348465
2.45,0.616607987
2.5,0.615050981
2.55,0.61144937
2.6,0.607847758
2.65,0.610344571
2.7,0.612841384
2.75,0.612396553
2.8,0.615260636
2.85,0.618124718
2.9,0.618087233
2.95,0.620561615
3,0.617984449
3.05,0.615407284
3.1,0.614695675
3.15,0.613930032
3.2,0.616777266
3.25,0.6196245
3.3,0.628014868
3.35,0.631201258
3.4,0.631168359
3.45,0.627054225
3.5,0.623593879
3.55,0.621895309
3.6,0.62387282
3.65,0.626261865
3.7,0.626546588
3.75,0.629208692
3.8,0.631870796
3.85,0.635817246
3.9,0.636482298
3.95,0.637147351
4,0.63714117
4.05,0.636484192
4.1,0.635557147
4.15,0.634630101
4.2,0.638077686
4.25,0.638765768
4.3,0.640003358
4.35,0.642864349
4.4,0.647526994
4.45,0.652189639
4.5,0.65431649
4.55,0.656735443
4.6,0.657198019
4.65,0.660306947
4.7,0.663415875
4.75,0.663572194
4.8,0.665344338
4.85,0.664078435
4.9,0.663906564
4.95,0.670457495
5,0.677008426
5.05,0.688020323
5.1,0.695482548
5.15,0.696108621
5.2,0.698026915
5.25,0.696470905
5.3,0.693780987
5.35,0.693163887
5.4,0.69450097
5.45,0.696068145
5.5,0.700484748
5.55,0.70490135
5.6,0.70704166
5.65,0.709181971
5.7,0.708043476
5.75,0.708772332
5.8,0.709501188
5.85,0.713795367
5.9,0.715967679
5.95,0.724027664
6,0.7325905
6.05,0.753240124
6.1,0.775119961
6.15,0.796999797
6.2,0.820782375
6.25,0.837142207
6.3,0.8417239
6.35,0.844390092
6.4,0.84689478
6.45,0.854429383
6.5,0.85778884
6.55,0.85914307
6.6,0.862986637
6.65,0.866830203
6.7,0.869251748
6.75,0.864943412
6.8,0.870774061
6.85,0.874094837
6.9,0.879099827
6.95,0.8842407
7,0.889381572
7.05,0.896030103
7.1,0.918658833
7.15,0.931762091
7.2,0.944865349
7.25,0.948391692
7.3,0.950244986
7.35,0.95209828
7.4,0.951985028
7.45,0.951871777
7.5,0.957378922
7.55,0.962886066
7.6,0.963276464
7.65,0.957367557
7.7,0.951458649
7.75,0.949553116
7.8,0.959359524
7.85,0.969165932
7.9,0.988515758
7.95,0.99448817
8,0.991276657
8.05,0.990076752
8.1,0.988876846
8.15,0.992453634
8.2,0.992955489
8.25,0.996477744
8.3,1
8.35,0.999856243
8.4,0.99725535
8.45,0.994654458
8.5,0.995030799
8.55,0.99540714
8.6,0.994193876
8.65,0.990698338
8.7,0.9872028
8.75,0.989491553
8.8,0.987166911
8.85,0.984842268
8.9,0.986536053
8.95,0.983351956
9,0.980167859
9.05,0.978294627
9.1,0.967828849
9.15,0.967397477
9.2,0.966966105
9.25,0.966204151
9.3,0.965442197
9.35,0.964277383
9.4,0.963678826
9.45,0.963080268
9.5,0.972582812
9.55,0.975916947
9.6,0.979251082
9.65,0.977597772
9.7,0.972405159
9.75,0.967212546
9.8,0.965348884
9.85,0.963485222
9.9,0.963168796
9.95,0.96285237
10,0.964328027
10.05,0.963149655
10.1,0.961971283
10.15,0.95733735
10.2,0.95385527
10.25,0.950592516
10.3,0.946759716
10.35,0.942926917
10.4,0.941658023
10.45,0.941318867
10.5,0.941832885
10.55,0.942346902
10.6,0.938816771
10.65,0.929594963
10.7,0.930423014
10.75,0.923284193
10.8,0.916145372
10.85,0.914321387
10.9,0.910716885
10.95,0.908053286
11,0.906612721
11.05,0.905172156
11.1,0.904331743
11.15,0.903491331
11.2,0.890041042
11.25,0.876590752
11.3,0.874516937
11.35,0.869935243
11.4,0.866192367
11.45,0.872918259
11.5,0.879644152
11.55,0.892590492
11.6,0.888097127
11.65,0.883603761
11.7,0.88262956
11.75,0.880894602
11.8,0.879159643
11.85,0.885551165
11.9,0.885436319
11.95,0.885607392
12,0.883614926
12.05,0.881622461
12.1,0.874219852
12.15,0.868446627
12.2,0.859329496
12.25,0.850212366
12.3,0.838175226
12.35,0.831360507
12.4,0.824545788
12.45,0.81844218
12.5,0.812338572
12.55,0.809752933
12.6,0.807326802
12.65,0.804900672
12.7,0.803935643
12.75,0.803657898
12.8,0.801905593
12.85,0.800153288
12.9,0.789673752
12.95,0.783918073
13,0.784817105
13.05,0.785756014
13.1,0.780049185
13.15,0.774342355
13.2,0.775471279
13.25,0.776600203
13.3,0.77956687
13.35,0.778620782
13.4,0.777674695
13.45,0.776998377
13.5,0.774594977
13.55,0.77316498
13.6,0.771734982
13.65,0.769789771
13.7,0.767716953
13.75,0.76193974
13.8,0.762014111
13.85,0.763111433
13.9,0.764208754
13.95,0.764567749
14,0.764926744
14.05,0.768015633
14.1,0.76687335
14.15,0.765731067
14.2,0.759898126
14.25,0.754065184
14.3,0.754995121
14.35,0.753593437
14.4,0.75273488
14.45,0.751876323
14.5,0.750469056
14.55,0.746611732
14.6,0.74439406
14.65,0.742176387
14.7,0.740914173
14.75,0.73965196
14.8,0.739364943
14.85,0.739077927
14.9,0.731919865
14.95,0.724761803
15,0.722413733
15.05,0.720065662
15.1,0.717064502
15.15,0.713628879
15.2,0.707804611
15.25,0.701623841
15.3,0.696655238
15.35,0.691686635
15.4,0.684260698
15.45,0.678223884
15.5,0.675341758
15.55,0.672009816
15.6,0.666906528
15.65,0.667363023
15.7,0.667819517
15.75,0.666885593
15.8,0.665951668
15.85,0.663996886
15.9,0.662909235
15.95,0.660993732
16,0.65949076
16.05,0.657987787
16.1,0.657853401
16.15,0.645159284
16.2,0.641989044
16.25,0.64055167
16.3,0.639842952
16.35,0.639134234
16.4,0.637876306
16.45,0.635334532
16.5,0.633651115
16.55,0.631010445
16.6,0.631838695
16.65,0.631750965
16.7,0.631663235
16.75,0.631959623
16.8,0.63225601
16.85,0.631268052
16.9,0.631479999
16.95,0.632520994
17,0.634291643
17.05,0.636062291
17.1,0.635665214
17.15,0.635268136
17.2,0.635875666
17.25,0.637077067
17.3,0.638278468
17.35,0.635384977
17.4,0.636389683
17.45,0.638192333
17.5,0.634716834
17.55,0.63643634
17.6,0.63641042
17.65,0.636384499
17.7,0.638118561
17.75,0.635215299
17.8,0.632312038
17.85,0.632284323
17.9,0.632256608
17.95,0.631849262
18,0.631441917
18.05,0.631694738
18.1,0.631600229
18.15,0.635255675
18.2,0.63891112
18.25,0.643646342
18.3,0.647701457
18.35,0.645705303
18.4,0.643709148
18.45,0.640069155
18.5,0.637190418
18.55,0.634311681
18.6,0.63282107
18.65,0.627664746
18.7,0.625400018
18.75,0.623135291
18.8,0.626764318
18.85,0.627159701
18.9,0.630354465
18.95,0.633549229
19,0.651644916
19.05,0.669740603
19.1,0.67950813
19.15,0.685285742
19.2,0.68919371
19.25,0.683603521
19.3,0.676078689
19.35,0.664397852
19.4,0.652717015
19.45,0.635423658
19.5,0.617409121
19.55,0.599394584
19.6,0.596339191
19.65,0.585475039
19.7,0.583554951
19.75,0.581634863
19.8,0.577139503
19.85,0.573433513
19.9,0.566117238
19.95,0.566566056
20,0.568927985
20.05,0.574207231
20.1,0.579486477
20.15,0.585643521
20.2,0.587561516
20.25,0.58947951
20.3,0.587542674
20.35,0.583044921
20.4,0.576453814
20.45,0.56718515
20.5,0.563458723
20.55,0.559732296
20.6,0.560248308
20.65,0.564003546
20.7,0.563959781
20.75,0.563916015
20.8,0.56155967
20.85,0.557643726
20.9,0.553727783
20.95,0.547803223
21,0.546412306
21.05,0.548766059
21.1,0.551119812
21.15,0.549631694
21.2,0.548143576
21.25,0.547630754
21.3,0.54793442
21.35,0.546132766
21.4,0.544918306
21.45,0.546140742
21.5,0.545223964
21.55,0.542998018
21.6,0.540772071
21.65,0.530811139
21.7,0.524267286
21.75,0.524725675
21.8,0.517853433
21.85,0.515274174
21.9,0.508541303
21.95,0.503329748
22,0.497851216
22.05,0.502264628
22.1,0.506977916
22.15,0.508393159
22.2,0.509808402
22.25,0.50827911
22.3,0.509402851
22.35,0.509473234
22.4,0.510649712
22.45,0.51182619
22.5,0.512734593
22.55,0.511014389
22.6,0.509294185
22.65,0.497182475
22.7,0.493082996
22.75,0.488983518
22.8,0.48872272
22.85,0.48810582
22.9,0.487488919
22.95,0.488101633
23,0.493195151
23.05,0.498288669
23.1,0.50073733
23.15,0.503490852
23.2,0.501791684
23.25,0.494233554
23.3,0.492317652
23.35,0.490680493
23.4,0.490835615
23.45,0.485313018
23.5,0.484489753
23.55,0.483666488
23.6,0.484928402
23.65,0.483878834
23.7,0.482330202
23.75,0.477659283
23.8,0.472988363
23.85,0.471228183
23.9,0.469468002
23.95,0.467124417
